OsID	species	experiment_acc	treatment	log2FC	adj_pvalue			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 528 hour	-2.3	7.68E-17			
Os01g0859300	oryza sativa	E-MTAB-4406	moderately resistant to bacterial panicle blight disease vs susceptible to bacterial panicle blight disease in control at flowering stage	-2.3	2.41E-16			
Os02g0703600	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	2.3	3.97E-07			
Os04g0469800	oryza sativa	E-MEXP-1766	"'12 hour, germination' vs '0 hour, dry seed'"	2.3	8.02E-07			
Os01g0883800	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	2.3	1.03E-06			
Os04g0469800	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	2.3	1.82E-06			
Os02g0787300	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in K354	2.3	8.52E-06			
Os04g0469800	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	2.3	1.33E-05			
Os04g0469800	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	2.3	1.97E-05			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	-2.3	4.18E-05			
Os02g0703600	oryza sativa	E-MEXP-2267	3 hour vs 1 hour in anaerobic	2.3	6.73E-05			
Os01g0859300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 528 hour	2.3	0.000294792			
Os08g0509600	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	2.3	0.000560724			
Os01g0883800	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae T7174 vs Nipponbare; mock	-2.3	0.000597921			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	2.3	0.000734464			
Os05g0158500	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	-2.3	0.003734497			
Os01g0883800	oryza sativa	E-GEOD-39298	Epi-df vs wild type	-2.3	0.005443429			
Os02g0787300	oryza sativa	E-GEOD-58603	abscisic acid; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; leaf vs none; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; leaf	2.3	0.010817914			
Os01g0197100	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	2.3	0.042429919			
Os02g0787300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain L8 vs mock	2.2	1.97E-32			
Os03g0700400	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 528 hour	2.2	8.74E-32			
Os01g0197100	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	-2.2	3.10E-27			
Os03g0700400	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 510 hour	2.2	9.86E-27			
Os02g0724000	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7341 vs mock	2.2	3.18E-25			
Os02g0787300	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 1 hour	2.2	4.02E-25			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7342 vs mock	2.2	1.50E-11			
Os04g0401000	oryza sativa	E-GEOD-47812	non-aromatic RILs vs non-aromatic parent	-2.2	2.39E-09			
Os01g0307500	oryza sativa	E-GEOD-116423	ZnF8 deletion mutant vs wild type genotype in ZnF8 cohort	2.2	4.36E-09			
Os01g0883800	oryza sativa	E-MTAB-4994	drought environment vs normal watering	-2.2	7.88E-09			
Os02g0120100	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	2.2	8.68E-09			
Os01g0859300	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	-2.2	3.71E-07			
Os02g0724000	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	-2.2	7.79E-07			
Os04g0615000	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-2.2	1.16E-06			
Os09g0441900	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	2.2	1.75E-06			
Os02g0787300	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	2.2	3.39E-05			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7341 vs mock	-2.2	4.15E-05			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP2286 vs mock	2.2	0.000269404			
Os02g0703600	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	2.2	0.000365442			
Os02g0724000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae T7174 vs Nipponbare; mock	2.2	0.000675188			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7342 vs mock	2.2	0.001929405			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME5 vs IR24; none	-2.2	0.002581135			
Os04g0401000	oryza sativa	E-MEXP-2311	wild type; internode vs wild type; internode pith parenchyma	2.2	0.002760917			
Os05g0158500	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	-2.2	0.003557375			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7331 vs mock	2.2	0.003972138			
Os02g0703600	oryza sativa	E-GEOD-42028	MADS29 OX overexpression vs wild type	2.2	0.037130691			
Os05g0158500	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	-2.1	7.98E-73			
Os01g0648000	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 528 hour	2.1	4.14E-57			
Os09g0441900	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-2.1	1.30E-27			
Os02g0724000	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 6 hour	2.1	4.81E-27			
Os01g0648000	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Vialone Nano; root	-2.1	7.20E-25			
Os09g0441900	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	-2.1	2.26E-10			
Os04g0615000	oryza sativa	E-MTAB-4994	drought environment vs normal watering	-2.1	7.67E-10			
Os03g0700400	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in moderately resistant to bacterial panicle blight disease at seedling stage	2.1	6.27E-09			
Os09g0441900	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	2.1	1.31E-06			
Os05g0158500	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	2.1	6.12E-06			
Os04g0615000	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	-2.1	7.66E-06			
Os05g0158500	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	2.1	3.19E-05			
Os05g0207500	oryza sativa	E-MEXP-1766	"'3 hour, germination' vs '0 hour, dry seed'"	2.1	8.98E-05			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae T7174 vs IR24; none	2.1	0.000346826			
Os02g0120100	oryza sativa	E-GEOD-44250	potassium deficient medium with 6 hour resupply vs potassium deficient medium with no resupply	2.1	0.001187089			
Os02g0120100	oryza sativa	E-GEOD-54243	3 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	2.1	0.00244102			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7341 vs mock	2.1	0.003714843			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	-2.1	0.006213664			
Os05g0158500	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	-2.1	0.012582285			
Os04g0469800	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	-2.1	0.019380283			
Os02g0703600	oryza sativa	E-GEOD-45724	alkali; Jijing88 vs control; Jijing88	2.1	0.034858089			
Os01g0859300	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	2.1	0.042420786			
Os02g0120100	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	2	9.55E-162			
Os01g0718300	oryza sativa	E-MTAB-5941	cold temperature regimen; 2 hour vs none; 0 hour in Thaibonnet	2	1.43E-63			
Os09g0441900	oryza sativa	E-GEOD-116423	ZnF8 deletion mutant vs wild type genotype in ZnF8 cohort	-2	5.73E-61			
Os01g0648000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	-2	4.49E-11			
Os03g0103300	oryza sativa	E-MTAB-5941	Volano vs Thaibonnet in cold temperature regimen at 10 hour	2	2.88E-08			
Os02g0703600	oryza sativa	E-GEOD-29577	coi1-13 mutant vs wild type	2	4.51E-07			
Os09g0441900	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	2	5.89E-07			
Os01g0718300	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	2	1.06E-06			
Os01g0883800	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 6 hour	-2	2.70E-06			
Os02g0724000	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	-2	5.70E-06			
Os04g0469800	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-2	2.04E-05			
Os04g0469800	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	2	5.83E-05			
Os01g0911700	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	2	5.93E-05			
Os02g0703600	oryza sativa	E-GEOD-33204	30 day; Huahui 1; control vs 30 day; wild type; control	-2	8.74E-05			
Os01g0848400	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in K354	2	0.000142113			
Os04g0469800	oryza sativa	E-MEXP-2311	wild type; internode vs wild type; internode pith parenchyma	2	0.000265133			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME5 vs IR24; none	2	0.000552734			
Os02g0120100	oryza sativa	E-MTAB-4406	moderately resistant to bacterial panicle blight disease vs susceptible to bacterial panicle blight disease in control at flowering stage	-2	0.000567896			
Os04g0401000	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-2	0.001537421			
Os01g0713600	oryza sativa	E-GEOD-33441	5 days after pollination stage; cyn mutant vs 5 days after pollination stage; wild type	-2	0.003482626			
Os02g0120100	oryza sativa	E-GEOD-38023	recovery from cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	2	0.005329884			
Os04g0469800	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	-2	0.006129395			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; none	-2	0.006675333			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO86 vs IR24; none	-2	0.007059624			
Os01g0648000	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-2	0.009344284			
Os05g0158500	oryza sativa	E-GEOD-29967	Rathu Heenati; resistant variety to brown planthopper; 24 hour vs Rathu Heenati; resistant variety to brown planthopper; 0 hour	-2	0.009349525			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	-2	0.01144314			
Os01g0848400	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	2	0.012340621			
Os05g0187500	oryza sativa	E-GEOD-62894	pish; virulent line of rice blast fungus; susceptible at 5 day vs pish; water; susceptible at 5 day	2	0.013006637			
Os01g0718300	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	-2	0.040868348			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; shoot at 528 hour	1.9	2.78E-22			
Os03g0700400	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 505 hour	1.9	1.20E-21			
Os05g0158500	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 12 hour	1.9	6.15E-18			
Os02g0724000	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain L8 vs mock	1.9	3.52E-14			
Os03g0103300	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 3 hour; plant embryo coleoptile	-1.9	7.25E-14			
Os09g0441900	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	1.9	1.98E-09			
Os04g0615000	oryza sativa	E-MTAB-3230	PEG Stress vs normal in Mutant	1.9	7.13E-07			
Os01g0718300	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	1.9	1.83E-06			
Os02g0724000	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in C418	1.9	2.34E-06			
Os04g0615000	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	-1.9	2.36E-06			
Os02g0703600	oryza sativa	E-GEOD-33204	75 day; Huahui 1; Xanthomonas oryzae pv. oryzae Pxo99 vs 75 day; wild type; Xanthomonas oryzae pv. oryzae Pxo99	-1.9	2.48E-06			
Os02g0787300	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	1.9	1.16E-05			
Os05g0158500	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	-1.9	1.72E-05			
Os01g0911700	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 3 hour	1.9	6.05E-05			
Os02g0703600	oryza sativa	E-MEXP-1766	"'1 hour, germination' vs '0 hour, dry seed'"	1.9	0.000104043			
Os02g0787300	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in K354	1.9	0.000119606			
Os02g0120100	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	1.9	0.000121479			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	-1.9	0.000157568			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP2286 vs mock	-1.9	0.000566937			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS256 vs mock	-1.9	0.000837162			
Os01g0848400	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	1.9	0.001477602			
Os01g0648000	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	-1.9	0.001782858			
Os02g0724000	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99A vs Nipponbare; mock	1.9	0.003204703			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae BLS303 vs IR24; none	1.9	0.005655979			
Os01g0859300	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	1.9	0.008961502			
Os05g0158500	oryza sativa	E-MEXP-2311	mutant; internode pith parenchyma vs wild type; internode pith parenchyma	1.9	0.010081008			
Os02g0120100	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	1.9	0.014871905			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME5 vs IR24; none	-1.9	0.016841246			
Os02g0120100	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	1.9	0.03416966			
Os08g0509600	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	1.9	0.041729897			
Os04g0401000	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	-1.9	0.045862854			
Os03g0112700	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	1.8	2.12E-57			
Os02g0724000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	-1.8	5.56E-24			
Os02g0787300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS279 vs mock	1.8	5.65E-24			
Os02g0703600	oryza sativa	E-GEOD-116423	ZnF8 deletion mutant vs wild type genotype in ZnF8 cohort	-1.8	2.55E-22			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 505 hour	-1.8	3.76E-15			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain RS105 vs mock	1.8	3.80E-10			
Os03g0700400	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 8 hour	1.8	2.53E-09			
Os03g0103300	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	-1.8	5.43E-08			
Os02g0724000	oryza sativa	E-MTAB-4994	drought environment vs normal watering	1.8	1.15E-07			
Os01g0648000	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in moderately resistant to bacterial panicle blight disease at seedling stage	1.8	1.10E-06			
Os02g0703600	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	1.8	1.66E-06			
Os01g0718300	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	1.8	2.10E-06			
Os01g0859300	oryza sativa	E-GEOD-116423	ZnF8 deletion mutant vs wild type genotype in ZnF8 cohort	1.8	7.04E-06			
Os01g0883800	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae PXO99AME5 vs Nipponbare; mock	-1.8	7.95E-06			
Os01g0713600	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-1.8	9.68E-06			
Os01g0883800	oryza sativa	E-GEOD-36272	Nipponbare; Xanthomonas oryzae BLS303 vs Nipponbare; mock	-1.8	1.09E-05			
Os04g0469800	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	-1.8	1.55E-05			
Os02g0787300	oryza sativa	E-MEXP-1766	"'3 hour, germination' vs '0 hour, dry seed'"	1.8	1.80E-05			
Os01g0859300	oryza sativa	E-MEXP-1766	"'12 hour, germination' vs '0 hour, dry seed'"	-1.8	4.30E-05			
Os04g0469800	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	1.8	5.94E-05			
Os05g0187500	oryza sativa	E-GEOD-39432	28 days after flowering vs 7 days after flowering in endosperm	1.8	6.96E-05			
Os02g0703600	oryza sativa	E-MTAB-5524	4-chloro-6-methyl-2-phenylpyrimidine; 100 micromolar vs vehicle at 4 hour	1.8	0.000181824			
Os09g0441900	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	1.8	0.000208718			
Os05g0207500	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	-1.8	0.000423187			
Os02g0724000	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	1.8	0.000770097			
Os01g0307500	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	1.8	0.001430536			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	-1.8	0.001440766			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	-1.8	0.002003463			
Os02g0703600	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 24 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	-1.8	0.003866428			
Os01g0848400	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	1.8	0.004655626			
Os04g0469800	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in shoot at 24 hour	-1.8	0.009935121			
Os01g0307500	oryza sativa	E-GEOD-58603	none; wild type genotype; sodium chloride 140 millimolar; root vs none; wild type genotype; normal watering; root	1.8	0.010074282			
Os02g0703600	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-1.8	0.011370935			
Os02g0703600	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 6 hour	1.8	0.017207845			
Os05g0187500	oryza sativa	E-GEOD-21396	7.0 mm floret vs 1.5-2.0 mm floret in lemma	-1.8	0.035837004			
Os02g0120100	oryza sativa	E-GEOD-22538	gall midge biotype 1 (GMB1) vs control	-1.8	0.043520784			
Os02g0703600	oryza sativa	E-GEOD-58603	abscisic acid; wild type genotype; sodium chloride 140 millimolar; leaf vs none; wild type genotype; sodium chloride 140 millimolar; leaf	1.8	0.043643136			
Os08g0509600	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	1.8	0.047341791			
Os03g0103300	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	1.7	4.80E-135			
Os02g0120100	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 3 hour; plant embryo coleoptile	-1.7	8.31E-87			
Os02g0724000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	-1.7	1.08E-53			
Os03g0112700	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	1.7	1.06E-34			
Os01g0648000	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 510 hour	1.7	2.22E-23			
Os02g0787300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain B8-12 vs mock	1.7	2.50E-22			
Os01g0648000	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 504 hour	1.7	3.61E-21			
Os02g0120100	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 168 hour	-1.7	5.24E-13			
Os05g0158500	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 24 hour; plant embryo coleoptile	-1.7	5.98E-12			
Os05g0158500	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	-1.7	7.22E-11			
Os01g0883800	oryza sativa	E-MTAB-5025	Laodelphax striatella vs none	1.7	1.19E-10			
Os01g0648000	oryza sativa	E-GEOD-109341	sodium chloride; 100 millimolar vs none in Baldo; root	-1.7	1.53E-09			
Os03g0122600	oryza sativa	E-GEOD-47812	non-aromatic RILs vs non-aromatic parent	-1.7	1.54E-08			
Os01g0922800	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	-1.7	7.34E-07			
Os01g0718300	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	-1.7	1.01E-06			
Os01g0922800	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	-1.7	1.62E-06			
Os01g0718300	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	1.7	1.88E-06			
Os01g0922800	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	-1.7	5.49E-06			
Os01g0848400	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in C418	1.7	5.63E-05			
Os01g0307500	oryza sativa	E-MTAB-5025	microinjection with insect-derived Rice stripe virus vs microinjection with extracts of nonviruliferous planthoppers	-1.7	5.67E-05			
Os01g0883800	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1.7	6.39E-05			
Os05g0207500	oryza sativa	E-MTAB-3230	PEG Stress vs normal in Mutant	-1.7	8.28E-05			
Os02g0120100	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in moderately resistant to bacterial panicle blight disease at seedling stage	1.7	0.000132137			
Os01g0197100	oryza sativa	E-MTAB-3834	submergence low oxygen vs normal air	1.7	0.000428894			
Os09g0441900	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	1.7	0.000433033			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain B8-12 vs mock	-1.7	0.001067284			
Os01g0883800	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	-1.7	0.001131594			
Os02g0724000	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	1.7	0.001504775			
Os05g0158500	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 8 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	-1.7	0.001699047			
Os05g0158500	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-1.7	0.001994957			
Os01g0883800	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; shoot at 510 hour	-1.7	0.002414927			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME7 vs IR24; none	1.7	0.003517273			
Os01g0307500	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	1.7	0.006940043			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain RS105 vs mock	1.7	0.008430129			
Os02g0703600	oryza sativa	E-GEOD-58603	none; salt-tolerant introgression line PL177; sodium chloride 140 millimolar; leaf vs none; salt-tolerant introgression line PL177; normal watering; leaf	-1.7	0.010352201			
Os02g0703600	oryza sativa	E-GEOD-29349	osmads6-1 vs wild type	1.7	0.011212915			
Os05g0207500	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	-1.7	0.02108002			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO86 vs IR24; none	-1.7	0.036730792			
Os02g0120100	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	1.7	0.043177226			
Os01g0911700	oryza sativa	E-GEOD-115371	72 hour anaerobic environment; 24 hour aerobic environment vs none in 96 hour; coleoptile	1.7	0.048814701			
Os01g0911700	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 12 hour; plant embryo coleoptile	1.6	9.95E-49			
Os04g0615000	oryza sativa	E-MTAB-1625	normal watering at 24 hours vs. 5 hours	1.6	3.22E-47			
Os01g0718300	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	1.6	9.23E-35			
Os04g0615000	oryza sativa	E-MTAB-1625	300 millimolar sodium chloride at 24 hours vs. 5 hours	1.6	2.51E-22			
Os02g0120100	oryza sativa	E-GEOD-116423	ZnF5 deletion mutant vs wild type genotype in ZnF5 and Znf7 cohort	-1.6	1.17E-14			
Os03g0700400	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-1.6	1.09E-10			
Os02g0787300	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in shoot at 24 hour	1.6	1.45E-08			
